year_id,period_id,origin,destination,period,start,end
137_2016,1,3,3,864000,2020-01-01,2020-01-11
138_2015,1,0,0,864000,2020-01-01,2020-01-11
138_2016,1,2,2,864000,2020-01-01,2020-01-11
138_2017,1,2,2,864000,2020-01-01,2020-01-11
141_2015,1,0,0,864000,2020-01-01,2020-01-11
141_2016,1,2,5,864000,2020-01-01,2020-01-11
142_2015,1,0,0,864000,2020-01-01,2020-01-11
142_2016,1,2,2,864000,2020-01-01,2020-01-11
142_2017,1,2,2,864000,2020-01-01,2020-01-11
142_2018,1,2,2,864000,2020-01-01,2020-01-11
142_2019,1,2,2,864000,2020-01-01,2020-01-11
142_2020,1,2,2,864000,2020-01-01,2020-01-11
142_2021,1,2,2,864000,2020-01-01,2020-01-11
142_2022,1,2,2,864000,2020-01-01,2020-01-11
150_2015,1,0,0,864000,2020-01-01,2020-01-11
150_2016,1,2,2,864000,2020-01-01,2020-01-11
151_2015,1,0,0,864000,2020-01-01,2020-01-11
151_2016,1,4,4,864000,2020-01-01,2020-01-11
151_2017,1,4,4,864000,2020-01-01,2020-01-11
151_2018,1,4,4,864000,2020-01-01,2020-01-11
151_2019,1,2,2,864000,2020-01-01,2020-01-11
154_2016,1,3,3,864000,2020-01-01,2020-01-11
155_2015,1,0,0,864000,2020-01-01,2020-01-11
155_2016,1,3,3,864000,2020-01-01,2020-01-11
156_2016,1,3,3,864000,2020-01-01,2020-01-11
171_2015,1,0,0,864000,2020-01-01,2020-01-11
171_2016,1,2,2,864000,2020-01-01,2020-01-11
171_2017,1,2,2,864000,2020-01-01,2020-01-11
171_2018,1,2,2,864000,2020-01-01,2020-01-11
171_2019,1,2,2,864000,2020-01-01,2020-01-11
227_2016,1,0,0,864000,2020-01-01,2020-01-11
227_2017,1,2,2,864000,2020-01-01,2020-01-11
250_2017,1,0,0,864000,2020-01-01,2020-01-11
251_2017,1,0,0,864000,2020-01-01,2020-01-11
251_2018,1,2,2,864000,2020-01-01,2020-01-11
251_2019,1,2,2,864000,2020-01-01,2020-01-11
251_2020,1,2,2,864000,2020-01-01,2020-01-11
254_2017,1,0,0,864000,2020-01-01,2020-01-11
254_2018,1,2,2,864000,2020-01-01,2020-01-11
254_2019,1,2,2,864000,2020-01-01,2020-01-11
254_2020,1,2,2,864000,2020-01-01,2020-01-11
261_2017,1,0,0,864000,2020-01-01,2020-01-11
262_2017,1,0,0,864000,2020-01-01,2020-01-11
282_2017,1,0,0,864000,2020-01-01,2020-01-11
282_2018,1,2,2,864000,2020-01-01,2020-01-11
282_2019,1,2,2,864000,2020-01-01,2020-01-11
282_2020,1,2,2,864000,2020-01-01,2020-01-11
282_2021,1,2,2,864000,2020-01-01,2020-01-11
290_2017,1,0,0,864000,2020-01-01,2020-01-11
290_2018,1,3,3,864000,2020-01-01,2020-01-11
290_2019,1,3,3,864000,2020-01-01,2020-01-11
